AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc,Total
9002,FB,PT,             ,             ,"146,499 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"146,499 "
9002,MB,PT,             ,             ,"6,155,818 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"6,155,818 "
9003,HR,DO,"309,637,239 ",             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"309,637,239 "
9004,DR,DO,             ,             ,             ,          ,          ,          ,           ,          ,"66,237 ",             ,           ,            ,              ,                ,                                                                                                    ,"66,237 "
9004,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,"1,475,223 ",             ,           ,            ,              ,                ,                                                                                                    ,"1,475,223 "
9006,DR,DO,             ,             ,             ,"46,704 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"46,704 "
9006,MB,DO,             ,             ,"758,976 ",526 ,          ,          ,           ,          ,"109,934 ",             ,           ,            ,              ,                ,                                                                                                    ,"869,436 "
9007,DR,PT,             ,             ,"61,211 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"61,211 "
9007,MB,PT,             ,             ,"466,052 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"466,052 "
9008,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9008,MB,DO,             ,             ,             ,          ,          ,"1,910,567 ",           ,          ,          ,             ,           ,            ,              ,"936,734 ",                                                                                                    ,"2,847,301 "
9009,DR,PT,             ,             ,"134,341 ","61,821 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"196,162 "
9009,MB,DO,             ,             ,"1,940,943 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"1,940,943 "
9009,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9010,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9010,MB,DO,             ,             ,"561,141 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"561,141 "
9010,MB,PT,             ,             ,"73,673 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"73,673 "
9012,DR,DO,             ,             ,"67,150 ","16,649 ",          ,          ,           ,          ,"2,096 ",             ,           ,            ,              ,                ,                                                                                                    ,"85,895 "
9012,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
9012,MB,DO,             ,             ,"986,546 ","24,670 ",          ,          ,           ,          ,"8,087 ",             ,           ,            ,              ,                ,                                                                                                    ,"1,019,303 "
9013,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,NOTE:  Line 13 refers to hydrogen fuel for powering the Zero Emission Bus (ZEB)                     ,0 
9013,LR,DO,"28,698,796 ",             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"28,698,796 "
9013,MB,DO,             ,             ,"4,480,147 ","224,500 ",          ,          ,           ,          ,          ,             ,           ,            ,"8,778 ",                ,NOTE:  Line 13 refers to hydrogen fuel for powering the Zero Emission Bus (ZEB)                     ,"4,713,425 "
9013,MB,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,NOTE:  Line 13 refers to hydrogen fuel for powering the Zero Emission Bus (ZEB)                     ,0 
